ID,Artist,Song,Dialect,Lyrics
0000,Ragheb Alama,نسيني الدنيا (Nassini El Donia),Egyptian,نسيني الدنيا نسيني العالم دَّوِبني حبيبي وسبني أقوللك أحلى كلام لو ألِّف الدنيا لو ألِّف العالم مش ممكن زي غرامك إنت ألاقي غرام لو أقُلك إني بحبك الحب شوية عليك لو ثانية أنا بأبعد عنك بأرجع مشتاق لعينيك ضمني خليك ويايا دَّوِبني ودوب في هوايا تعالى نعيش أجمل أيام كان أجمل يوم في حياتي يوم ما قابلتك يا حياتي مقدرتش أتحمل من غير ما أفكر لحظة لقِتني بدوب في هواك خدتني من كل الناس عشت في أجمل إحساس ونسيت يا حبيبي الدنيا معاك لو أقُلك إني بحبك الحب شوية عليك لو ثانية أنا بأبعد عنك بارجع مشتاق لعينيك ضمني خليك ويايا دَّوِبني ودوب في هوايا تعالى نعيش أجمل أيام أنا شايلك جوه عينيا والدنيا دي شاهدة عليا أنا جنبك وبحبك مش ممكن أقدر يا حبيبي في يوم أنساك بتمنى العمر يطول وأفضل أحبك على طول دا أنا ياما حلمت أكون وياك لو أقُلك إني بحبك الحب شوية عليك لو ثانية أنا ببعد عنك بارجع مشتاق لعينيك ضمني خليك ويايا دَّوِبني ودوب في هوايا تعالى نعيش أجمل أيام
0001,Mahmoud El-Lithy,سطلانة (Satalana),Egyptian,[الليثي] يا دكتور ... شوفلي تصريفة أبوس إيدك إكتبلي روشتة أنا جوايا حتة نضيفة خُدها إرميها في أي حتة أنا نفسي أقطعها ... نفسي أقلعها زي ما بأقلع الجاكِتة جيت أبيع حب ما حدش نَفَّعّْني قَفَلْت الدُكانة [كورس] أوووووه سطلانة سطلانة لانة سطلانة [عبد الباسط] كنكة بُن تِفَوقّني ما فُقّتِش رشة مَيّة تِفَتَحني ما فَتَحْتِش راكب دماغي و دايس مزاجي فى الطالع خالص أسرع من صواريخ ناسا الواحد ياما قاسي هابعد بعيد لأتعِدي من الناس العَيَّانة [كورس] أوووووه سطلانة سطلانة لانة سطلانة [حمدي باتشان] و النبي تديني يا شيف حبة دلع في رغيف علشان أشبع من الفرحة و أوَفَّر المصاريف و النبي تديني يا شيف حبة دلع في رغيف علشان أشبع من الفرحة و أوَفَّر المصاريف عمالة الدنيا تلِف تلِف و مرَقَصّانا [كورس] أوووووه سطلانة سطلانة لانة سطلانة [عبد الباسط حمودة و حمدي باتشان] كنكة بُن تِفَوقّني ما فُقّتِش رشة مَيّة تِفَتَحني ما فَتَحْتِش راكب دماغي و دايس مزاجي فى الطالع خالص أسرع من صواريخ ناسا الواحد ياما قاسي هابعد بعيد لأتعِدي من الناس العَيَّانة [كورس] أوووووه سطلانة سطلانة لانة سطلانة [الخلعي] يا نفسي ... خليكي في نفسِك يا إمّا هتبقي الغلطانة و يا إحساساتي هفضل حابسك أحسن تِجري ع اللي أذانا خدت العلاجات و ما خَفِتشِ أعصابي تَلفانة [كورس] أوووووه سطلانة سطلانة لانة سطلانة [الليثي] يا بِت يا حب الحب يا قلب القلب يا نني العين بحبك أكتر من الفاكهة و من شنطة فيها ملايين نفسي أشوفك لأدلُق عليكي و عَلَّيا شوية بنزين أيوة أنا مجنون في حبك و دماغي تعبانة [كورس] أوووووه سطلانة (أااااه) سطلانة لانة سطلانة أوووووه سطلانة (الناس العَيَّانة) سطلانة لانة (من الناااااااااااس) سطلانة من الناس العَيَّانة
0002,Elissa,أجمل إحساس (Agmal Ehsas),Egyptian,أجمل إحساس فى الكون، إنك تعشق بجنون و ده حالى معاك خلتنى اعيش ايام، مليانة بشوق و غرام دوبنى هواك أجمل إحساس فى الكون، إنك تعشق بجنون و ده حالى معاك خلتنى اعيش ايام، مليانة بشوق و غرام دوبنى هواك عاشقاك بجنون روحى انا قلبى المفتون كله منى وياك بيعيش أحلى هنا، حبيبى أنا، يا روحى أنا عاشقاك بجنون روحى انا قلبى المفتون كله منى وياك بيعيش أحلى هنا، حبيبى أنا، يا روحى أنا يا ويلى يا ناري قولى إزاى أدارى شوقى و لهفة قلبى فى قربك حتى و احنا سوا بتنور سنينى و بيكبر حنينى قرب منى تعالى فى حضنى و املى حياتى هوى يا ويلى يا ناري قولى إزاى أدارى شوقى و لهفة قلبى فى قربك حتى و احنا سوا بتنور سنينى و بيكبر حنينى قرب منى تعالى فى حضنى و املى حياتى هوى عاشقاك بجنون روحى انا قلبى المفتون كله منى وياك بيعيش أحلى هنا، حبيبى أنا، يا روحى أنا عاشقاك بجنون روحى انا قلبى المفتون كله منى وياك بيعيش أحلى هنا، حبيبى أنا، يا روحى أنا غيرنى بثوانى إحساسى اللى جانى اول مرة احس بالدنيا حلوة فى عينى كدة ايه اتمنى تانى فيه كل الأمانى دة انت مليت الدنيا علىَّ بإلأشواق و الهنا عاشقاك بجنون روحى انا قلبى المفتون كله منى وياك بيعيش أحلى هنا، حبيبى أنا، يا روحى أنا عاشقاك بجنون روحى انا قلبى المفتون كله منى وياك بيعيش أحلى هنا، حبيبى أنا، يا روحى أنا أجمل إحساس فى الكون، إنك تعشق بجنون و ده حالى معاك خلتنى اعيش ايام، مليانة بشوق و غرام دوبنى هواك أجمل إحساس فى الكون، إنك تعشق بجنون و ده حالى معاك خلتنى اعيش ايام، مليانة بشوق و غرام دوبنى هواك
0003,Sabah,يانا يانا (Yana Yana),Egyptian,يانا يانا يانا يانا يانا يانا فى حبيبي اموت انا فى حبيبي اموت انا بلهيبي يا عذابي وحبيبي وحبيبي ما داري بي وعلشانه اموت انا يا نا يانا يا تعبني يانا يانا يا سايبني للعذاب يسهر عليا والسهر يتسلى بيا لو صحيح مش داري بيا ليه بتتلفت عليا واما بتقابلك عنيا ليه بتهرب من عنيا اموت انا بلهيبي يا عذابي وحبيبي وحبيبي ما داري بي وعلشانه اموت انا يا نا يانا يا تعبني يانا يانا يا سايبني للعذاب يسهر عليا والسهر يتسلى بيا لو صحيح مش داري بيا ليه بتتلفت عليا واما بتقابلك عنيا ليه بتهرب من عنيا اموت انا بلهيبي يا عذابي وحبيبي وحبيبي ما داري بي وعلشانه اموت انا لو تشرق او تغرب مهما بتعد راح تقرب راح تجرب ناري ديه يا جميل تصعب عليا نار تخلي التلج يغلي راح تصرخ منها قبلي واللى هينجيك عنيا يا جميل تصعب عليا اموت انا بلهيبي يا عذابي وحبيبي وحبيبي ما داري بي وعلشانه اموت انا انت خايف من رموشي ما بيجرحوشي دول حبايبك يا حبيبي ولا خايف حبي ياخدك بحر تغرق فيه لوحدك لا ده انا معاك يا حبيبي ولا اقولك طب وحبك غصب عنك راح تحب ذنبك ايه ذنبك بحبك هو بعد الحب ذنب وعلشانه اموت انا
0004,Hassan Shakosh,حبيبتي (Habibty),Egyptian,[حسن شاكوش:] حبيبتي، أفتحي شباكك أنا جيت أنا واقف تحت البيت مش هعمل زيطه وسيط، وحشتيني بتلفي وتدوري عليا ليه مش عايزه تحني ليه طب بصي يا بنت الإيه، مش هحلك بلاغيكي، قولتلك بهوايا لو مش جايه معايا هعمل ألف جنايه هقلب زومبي أنا جايلك، وبقولك وحشاني إنتي النص التاني وبقيتي بالنسبالي أم عيالي اسم الله، محروسه من العين ما شاء الله يا غزال بيطل الطله كعبك مرسوم بالحنه، يا أميره شغلاني، ومن العالم وخداني حضنك لاقيته مكاني لو غيبتي عني بعاني، يا روح قلبي بالعافيه، أنا جوه في منطقتك واقف تحت بيتيك وبسمع حتتك، أنتي تخصيني من الآخر، اللي يقربلها أو يجي يوم عندها هخطفه في وقتها، أنا دمي حامي روحي، أفديكي بروحي بس أوعي تروحي أنا كل طموحي دبلة خطوبه قلبي، أنتي نبض قلبي وحياتي أنتي يا بطل منطقتي، يا جميله كتكوته، يا كريمه على بسكوته جرينوڤ ومش مقروطه قمر، چيلي وقطوطه، يا عسليه مملكتي، والباقي كله جواري أنتي اللي جوه خيالي أخدتي كل حناني، يا نن العين [ياسمين رئيس:] ما يصحش، في الرايحه وفي الجايه عينك تيجي عليا مش هاجي بالملاغيه والمرزايه بتعاكس، طب بردك مش هاجي معجب كلم دادي لو وافق يا حياتي هديك عينيا [حسن شاكوش:] أنا جايلك، وبقولك وحشاني أنتي النص التاني وبقيتي بالنسبالي أم عيالي
0005,Abdel Halim Hafez,زي الهوا (Zay El Hawa),Egyptian,زي الهوا يا حبيبي زي الهوا وآه من الهوى يا حبيبي آه من الهوى وخذتني من إيدي يا حبيبي ومشينا تحت القمر غنينا وسهرنا وحكينا وفي عز الكلام سكت الكلام وأتاريني ماسك الهوا بإيدية وآه من الهوى يا حبيبي وخذتني ومشينا والفرح يضمنا ونسينا يا حبيبي مين إنت ومين أنا حسيت إن هوانا ح يعيش مليون سنة وبقيت وانت معايا الدنيا ملك إيديا أأمر على هوايا تقول أمرك يا عينية وفي عز الكلام سكت الكلام وأتاريني ماسك الهوا بإيدية وآه من الهوى يا حبيبي خايف ومشيت وأنا خايف .. إيدي في إيدك وأنا خايف خايف على فرحة قلبي .. خايف على شوقي وحبي وياما قلت لك أنا .. واحنا في عز الهنا قلت لك يا حبيبي لا أنا قد الفرحة ديا .. وحلاوة الفرحة ديا خايف لا في يوم وليلة ماألاقكش بين إيديا تروح وتغيب عليّ يا حبيبي وقلت لي يا حبيبي ساعتها دي دنيتي إنت اللي ملتها وفي عز الكلام سكت الكلام وأتاريني ماسك الهوا بإيدية وآه من الهوى يا حبيبي وخذتني يا حبيبي ورحت طاير طاير وفتني يا حبيبي وقلبي حاير حاير وقلت لي راجع بكرة أنا راجع وفضلت مستني بآمالي ومالي البيت بالورد بالشوق بالحب بالأغاني يا حبيبي يا حبيبي بشمع قايد بأحلى كلمة فوق لساني كان ده حالي يا حبيبي لما جيت رددنا الغنوة الحلوة سوا ودبنا مع نور الشمع .. دبنا سوى ودقنا حلاوة الحب .. دقناها سوى وفي لحظة لقيتك يا حبيبي زي دوامة هوا رميت الورد طفيت الشمع يا حبيبي والغنوة الحلوة ملاها الدمع يا حبيبي وفي عز الأمان ضاع مني الأمان وأتاريني ماسك الهوا في إيدية وآه من الهوى يا حبيبي
0006,Amr Diab,قمرين (Amarain),Egyptian,والله ما كان على بالي يا هوا والله ما كان على بالي يا هوا قمرين، قمرين دول ولا عينيك قلبي بيسألني عليك أتاريني بفكر فيك يا قلبي يانا من حبه يانا يا شوق أمانة تملى الليالي غرام أهين يا عمري يا كل عمري سلمته أمري وعينيك قالت لي كلام والله ما كان على بالي يا هوا والله ما كان على بالي يا هوا قمرين، قمرين دول ولا عينيك قلبي بيسألني عليك أتاريني بفكر فيك طال انشغالي وياك ياغالي وأنا ايه جرالي خلاني أدوب فى هواك اشمعنى انت حبيتك انت ازاي وامتى شغلت روحي معاك والله ما كان على بالي يا هوا والله ما كان على بالي يا هوا قمرين، قمرين دول ولا عينيك قلبي بيسألني عليك أتاريني بفكر فيك
0007,Oum Kalthoum,دارت الأيام (Daret El Ayam),Egyptian,ودارت الأيام، ومرت الأيام ما بين بعاد وخصام وقابلته نسيت إني خصمته ونسيت الليل اللي سهرته وسامحت عذاب قلبي وحيرته ما اعرفش إزاي إزاي إزاي أنا كلمته ما اقدرش على بعد حبيبي أنا ليا مين أنا ليا مين إلا حبيبي قابلني والأشواق في عنيه سلم وخد ايدي في ايديه وهمس لي قاللي الحق عليه نسيت ساعتها بعدنا ليه فين دموع عيني اللي ما نامت ليالي بابتسامه من عيونوا نسّاهالي أمرّ عذاب، واحلى عذاب، عذاب الحب للأحباب ما اقدرتش اصبر يوم على بعده ده الصبر عايز عايز صبر لوحده ما اقدرش على بعد حبيبي وصفولي الصبر لقيته خيال وكلام في الحب يا دوب ينقال واهرب من قلبي اروح على فين ليالينا الحلوة في كل مكان مليناها حب احنا الأثنين وملينا الدنيا أمل، أمل وحنان عيني عيني على العاشقين حيارى مظلومين، عالصبر مش قادرين ما اقدرتش اصبر يوم على بعده ده الصبر عايز عايز صبر لوحده ما اقدرش على بعد حبيبي وهل الفجر بعد الهجر بلونه الوردي بيصبح ونور الصبح صحى الفرح وقال للحب قوم نفرح من فرحتي تهت مع الفرحه من فرحتي لا بنام ولا بصحى ولقيتني معاك بعيش معاك بعيش في ربيع ما فيش كده بين شوق ما ينتهيش، وشوق ثاني ابتدى ما اقدرتش اصبر يوم على بعده ده الصبر عايز عايز صبر لوحده ما اقدرش على بعد حبيبي
0008,Ragheb Alama,حبيب قلبى (Habib Albi),Egyptian,حبيب قلبي يا غالي يا مسهرني الليالي اسمك دايما ع بالي وبقلبي ليل نهار ارجوك قربني منك ما فيي ابعد عنك والعالم قالوا انك اجمل ما قلبي اختار انت عيوني فرحة جنوني بحلم حبيبي نكمل المشوار مهما لاموني يا نور عيوني بحلم حبيبي نكمل المشوار بحلم حبيبي نكمل المشوار بغيابك عني بشتقلك يا حبي الوحيد قلبي على طول بيندهلك لو كنت بعيد انت بروحي وكياني ورود الربيع من خوفي لحظة تنساني عمري بيضيع انت عيوني فرحة جنوني بحلم حبيبي نكمل المشوار مهما لاموني يا نور عيوني بحلم حبيبي نكمل المشوار بحلم حبيبي نكمل المشوار ياللي غرامك جنني يا اجمل غرام لو تبعد يا حبيبي عني ابدا ما بنام سحرني بعيونك بعيونك خليني دوب عمري من دونك من دونك لا مش محسوب انت عيوني فرحة جنوني بحلم حبيبي نكمل المشوار مهما لاموني يا نور عيوني بحلم حبيبي نكمل المشوار بحلم حبيبي نكمل المشوار يا حبيب قلبي يا غالي يا مسهرني الليالي اسمك دايما ع بالي وبقلبي ليل نهار ارجوك قربني منك ما فيي ابعد عنك والعالم قالوا انك اجمل ما قلبي اختار
0009,Cairokee,تلك قضية (Telk Qadeya),Egyptian,ينقذ في سلاحف بحرية يقتل حيوانات بشرية تلك قضية وتلك قضية كيف تكون ملاكا أبيض؟ يبقى ضميرك نص ضمير تنصف حركات الحرية وتنسف حركات التحرير وتوزع عطفك وحنانك ع المقتول حسب الجنسية وتلك قضية وتلك قضية كيف تكون إنساناً راقي؟ ومطابق للإشتراطات كل كلامك لابس واقي وبتحضن كل الشجرات بتقول ع البواب الحارس وجنبك جيش بيهد مدارس واما بتقفش نفسك لابس دم.. تقول الكل ضحية وتلك قضية وتلك قضية كيف أصدق هذا العالم لما بيحكي عن الإنسان؟ شايف أم بتبكي ضناها علشان مات في الغارة جعان ويساوي المقتول بالقاتل بشرف ونزاهة وحيادية وتلك قضية وتلك قضية كيف أنامَ قريرَ العينِ؟ وأضع سدادة أذنين والعيلة المدفونة ف بيتها ممنوع حد يخش يغيتها وكأن الارض اللي فوقيهم مش تبع الكورة الأرضية وتلك قضية وتلك قضية كيف تعيش في سجنٍ واسع؟ زنازينه من نار ورماد وتقوم من تحت الأنقاض تتشعلق ف رقاب القاتل تجمع اشلائك وتقاتل وتوري الدنيا الكدابة كيف يسير قانون الغابة من اين طريق الحرية ومن أين تؤتى الدبابة مش فارقة العالم يتكلم موت حر وما تعيشٌ مسلّم تلهم جيل ورا جيل يتعلم كيف يعيش ويموت لقضية بننادي على عالم مين علشان يستنكر ويدين دن كما شئت فأي إدانة لما يجري جوا السلخانة مش هتخف بارود الدانة ولا قادرة ترجع له صباح تلك قضية وهذا كفاح
